"CustomerID","Recency","Frequency","Monetary","R_score","F_score","M_score","RFM_Score","Segment"
12349,18,1,1757.55,5,1,5,"515",Recent but One-Time
12762,25,2,1898.52,5,1,5,"515",Recent but One-Time
12950,24,3,1843.0,5,1,5,"515",Recent but One-Time
12985,28,2,1239.38,5,1,5,"515",Recent but One-Time
13521,10,3,1093.65,5,1,5,"515",Recent but One-Time
14893,11,2,1237.85,5,1,5,"515",Recent but One-Time
14904,25,2,1025.44,5,1,5,"515",Recent but One-Time
15009,25,3,1261.78,5,1,5,"515",Recent but One-Time
15195,2,1,3861.0,5,1,5,"515",Recent but One-Time
15531,30,2,2007.44,5,1,5,"515",Recent but One-Time
15621,21,4,1293.03,5,1,5,"515",Recent but One-Time
16000,2,3,12393.7,5,1,5,"515",Recent but One-Time
16751,30,1,1764.72,5,1,5,"515",Recent but One-Time
16800,11,1,1201.49,5,1,5,"515",Recent but One-Time
16986,30,2,1873.2,5,1,5,"515",Recent but One-Time
17197,29,1,1013.01,5,1,5,"515",Recent but One-Time
17500,29,3,1138.0,5,1,5,"515",Recent but One-Time
17727,15,1,1060.25,5,1,5,"515",Recent but One-Time
18139,18,6,8438.34,5,1,5,"515",Recent but One-Time
12374,25,1,742.93,5,1,4,"514",Recent but One-Time
12478,3,1,680.99,5,1,4,"514",Recent but One-Time
12479,11,1,527.2,5,1,4,"514",Recent but One-Time
12603,21,1,739.2,5,1,4,"514",Recent but One-Time
12658,18,1,686.05,5,1,4,"514",Recent but One-Time
12713,0,1,848.55,5,1,4,"514",Recent but One-Time
12784,15,2,574.42,5,1,4,"514",Recent but One-Time
12847,22,1,871.54,5,1,4,"514",Recent but One-Time
13596,12,2,697.04,5,1,4,"514",Recent but One-Time
14126,10,3,706.13,5,1,4,"514",Recent but One-Time
14382,26,1,626.07,5,1,4,"514",Recent but One-Time
14675,16,1,604.75,5,1,4,"514",Recent but One-Time
14725,24,1,718.08,5,1,4,"514",Recent but One-Time
14756,15,1,738.96,5,1,4,"514",Recent but One-Time
14788,26,2,679.44,5,1,4,"514",Recent but One-Time
15274,18,2,716.57,5,1,4,"514",Recent but One-Time
15539,7,1,538.46,5,1,4,"514",Recent but One-Time
15645,18,1,612.01,5,1,4,"514",Recent but One-Time
15654,26,2,922.53,5,1,4,"514",Recent but One-Time
15720,24,1,598.73,5,1,4,"514",Recent but One-Time
15721,11,1,507.08,5,1,4,"514",Recent but One-Time
15773,5,1,635.68,5,1,4,"514",Recent but One-Time
16376,17,2,987.01,5,1,4,"514",Recent but One-Time
16535,5,1,593.75,5,1,4,"514",Recent but One-Time
16759,30,3,789.79,5,1,4,"514",Recent but One-Time
16811,17,2,547.07,5,1,4,"514",Recent but One-Time
17044,25,1,948.48,5,1,4,"514",Recent but One-Time
17100,18,2,971.74,5,1,4,"514",Recent but One-Time
17290,16,2,525.24,5,1,4,"514",Recent but One-Time
17397,22,2,696.41,5,1,4,"514",Recent but One-Time
17461,29,3,757.46,5,1,4,"514",Recent but One-Time
17502,29,4,689.1,5,1,4,"514",Recent but One-Time
17523,19,4,652.74,5,1,4,"514",Recent but One-Time
17566,25,2,901.21,5,1,4,"514",Recent but One-Time
17806,11,1,546.04,5,1,4,"514",Recent but One-Time
17985,22,1,634.95,5,1,4,"514",Recent but One-Time
18082,25,1,703.37,5,1,4,"514",Recent but One-Time
12391,21,1,460.89,5,1,3,"513",Recent but One-Time
12452,16,2,430.57,5,1,3,"513",Recent but One-Time
12504,30,2,482.05,5,1,3,"513",Recent but One-Time
12508,29,2,398.27,5,1,3,"513",Recent but One-Time
12532,30,1,349.83,5,1,3,"513",Recent but One-Time
12538,29,1,363.95,5,1,3,"513",Recent but One-Time
12558,7,1,269.96,5,1,3,"513",Recent but One-Time
12617,29,1,355.53,5,1,3,"513",Recent but One-Time
12650,3,1,314.44,5,1,3,"513",Recent but One-Time
12795,18,1,430.48,5,1,3,"513",Recent but One-Time
12890,24,1,380.47,5,1,3,"513",Recent but One-Time
12953,9,1,329.85,5,1,3,"513",Recent but One-Time
13091,28,1,345.82,5,1,3,"513",Recent but One-Time
13142,19,1,307.09,5,1,3,"513",Recent but One-Time
13153,5,1,486.22,5,1,3,"513",Recent but One-Time
13298,1,1,360.0,5,1,3,"513",Recent but One-Time
13332,14,1,350.9,5,1,3,"513",Recent but One-Time
13449,23,1,291.88,5,1,3,"513",Recent but One-Time
13732,28,1,491.86,5,1,3,"513",Recent but One-Time
13790,4,1,348.8,5,1,3,"513",Recent but One-Time
13844,11,1,361.62,5,1,3,"513",Recent but One-Time
13986,17,1,320.46,5,1,3,"513",Recent but One-Time
14093,12,1,442.85,5,1,3,"513",Recent but One-Time
14424,17,1,322.08,5,1,3,"513",Recent but One-Time
14480,11,1,279.05,5,1,3,"513",Recent but One-Time
14703,14,1,318.17,5,1,3,"513",Recent but One-Time
14804,8,1,353.27,5,1,3,"513",Recent but One-Time
14863,29,1,266.76,5,1,3,"513",Recent but One-Time
14881,19,1,255.4,5,1,3,"513",Recent but One-Time
14902,25,1,332.66,5,1,3,"513",Recent but One-Time
14950,19,1,371.2,5,1,3,"513",Recent but One-Time
14953,25,1,289.82,5,1,3,"513",Recent but One-Time
14954,12,1,336.17,5,1,3,"513",Recent but One-Time
15060,9,4,303.09,5,1,3,"513",Recent but One-Time
15115,18,1,340.11,5,1,3,"513",Recent but One-Time
15148,10,1,301.29,5,1,3,"513",Recent but One-Time
15269,23,1,408.8,5,1,3,"513",Recent but One-Time
15318,3,1,312.62,5,1,3,"513",Recent but One-Time
15368,21,1,446.94,5,1,3,"513",Recent but One-Time
15450,30,1,429.84,5,1,3,"513",Recent but One-Time
15471,2,1,469.48,5,1,3,"513",Recent but One-Time
15520,1,1,343.5,5,1,3,"513",Recent but One-Time
15524,24,1,440.0,5,1,3,"513",Recent but One-Time
15556,24,1,279.77,5,1,3,"513",Recent but One-Time
15557,28,1,473.65,5,1,3,"513",Recent but One-Time
15619,10,1,336.4,5,1,3,"513",Recent but One-Time
15699,17,1,309.65,5,1,3,"513",Recent but One-Time
15725,15,1,415.25,5,1,3,"513",Recent but One-Time
15857,18,1,297.0,5,1,3,"513",Recent but One-Time
15872,14,2,360.93,5,1,3,"513",Recent but One-Time
15877,17,2,493.28,5,1,3,"513",Recent but One-Time
